timestamp_EPOCHms,am2320_humidity_%,am2320_temperature_C,bmp388_temperature_C,bmp388_pressure_hPa,bmp388_altitude_m,bno055_acceleration_m/s^2,bno055_euler_angle,bno055_gravity_m/s^2,bno055_gyroscope,bno055_linear_acceleration_m/s^2,bno055_magnetometer_mT,bno055_temperature_C,bno055_quaternion,mcp3008_raw_adc,mcp3008_adc_voltage_V,mcp3008_thermistor_resistance_Ω,mcp3008_thermistor_temperature_C
1582571060.46959,30.5,18.0,18.392778722103685,979.745874211324,282.07536715284664,"(-0.09, -0.5, 9.39)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(-0.006544984694978736, -0.002181661564992912, 0.001090830782496456)","(0.0, 0.02, -0.4)","(35.25, -28.375, -65.6875)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38656,1.940068665598535,14439.679283982845,16.266200028265416
1582571065.941246,30.4,18.5,18.397223642095923,979.745874211324,282.41232110882373,"(-0.08, -0.5, 9.39)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(0.0, 0.001090830782496456, 0.0)","(0.0, 0.03, -0.4)","(34.1875, -28.0625, -66.0625)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38720,1.9465140764476996,13925.742032054324,17.123938964127944
1582571071.407977,30.3,17.8,18.40166855743155,979.7665675767385,282.50078876782544,"(-0.08, -0.48, 9.39)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(-0.001090830782496456, 0.004363323129985824, 0.001090830782496456)","(0.0, 0.03, -0.41000000000000003)","(34.875, -28.375, -66.375)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38528,1.9432913710231172,14265.931054911689,16.552260237152097
1582571076.873477,30.2,17.8,18.40166855743155,979.745874211324,282.749285768349,"(-0.1, -0.51, 9.38)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(-0.002181661564992912, -0.004363323129985824, 0.0)","(-0.01, 0.03, -0.38)","(34.5, -27.25, -66.0625)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38656,1.9465140764476996,14323.571985302302,16.45692501563144
1582571082.339051,30.1,17.7,18.397223642095923,979.7769142371886,282.41232110882373,"(-0.08, -0.51, 9.36)","(0.0, -0.5, 11.0625)","(-0.09, -0.52, 9.790000000000001)","(0.0, 0.003272492347489368, -0.001090830782496456)","(0.0, 0.01, -0.4)","(34.875, -28.0625, -66.5)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38592,1.9465140764476996,14381.487406525539,16.36157187413653
1582571087.804835,30.0,17.8,18.41055837413296,979.8266706853133,281.5614895891217,"(-0.07, -0.52, 9.39)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(0.0, -0.004363323129985824, 0.001090830782496456)","(0.0, 0.03, -0.38)","(33.75, -28.0625, -67.1875)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38656,1.949736781872282,14381.487406525539,16.36157187413653
1582571093.270296,30.3,17.5,18.40611346811056,979.7084413728176,283.3179271440147,"(-0.07, -0.47000000000000003, 9.370000000000001)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(0.001090830782496456, 0.0, 0.0)","(0.0, 0.01, -0.39)","(34.5, -27.25, -66.5)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38528,1.9432913710231172,14439.679283982845,16.266200028265416
1582571098.736392,30.5,17.8,18.41055837413296,979.7478511119665,282.0584593062347,"(-0.06, -0.51, 9.39)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(0.001090830782496456, -0.003272492347489368, -0.001090830782496456)","(0.04, 0.0, -0.42)","(34.875, -27.6875, -66.5)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38656,1.940068665598535,14381.487406525539,16.36157187413653
1582571104.202914,30.5,17.6,18.41944817220792,979.7187872335743,282.7324026147423,"(-0.1, -0.5, 9.370000000000001)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(0.0, 0.001090830782496456, 0.001090830782496456)","(0.0, 0.01, -0.38)","(35.25, -27.6875, -67.5625)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38592,1.949736781872282,14323.571985302302,16.45692501563144
1582571109.673839,30.3,17.8,18.41944817220792,979.7187872335743,282.9093301068322,"(-0.07, -0.49, 9.36)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(-0.001090830782496456, -0.003272492347489368, -0.001090830782496456)","(-0.01, 0.01, -0.4)","(34.5, -27.25, -67.25)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38784,1.940068665598535,14323.571985302302,16.45692501563144
