timestamp_EPOCHms,am2320_humidity_%,am2320_temperature_C,bmp388_temperature_C,bmp388_pressure_hPa,bmp388_altitude_m,bno055_acceleration_m/s^2,bno055_euler_angle,bno055_gravity_m/s^2,bno055_gyroscope,bno055_linear_acceleration_m/s^2,bno055_magnetometer_mT,bno055_temperature_C,bno055_quaternion,mcp3008_raw_adc,mcp3008_adc_voltage_V,mcp3008_thermistor_resistance_Ω,mcp3008_thermistor_temperature_C
1582580594.027366,34.7,17.9,18.237203588709235,979.6885395957455,282.40581124621906,"(-0.09, -0.51, 9.4)","(359.9375, -0.25, 3.0625)","(-0.04, -0.52, 9.790000000000001)","(-0.003272492347489368, -0.002181661564992912, 0.0)","(-0.04, 0.0, -0.39)","(33.375, -27.0, -66.75)",22,"(0.9996337890625, -0.02679443359375, 0.0023193359375, 0.0)",39744,1.9787411306935223,14915.408888719916,15.502457180776673
1582580599.494949,36.3,18.2,18.237203588709235,979.8067236548807,282.7426532969298,"(-0.1, -0.48, 9.39)","(359.9375, -0.25, 3.0625)","(-0.04, -0.52, 9.790000000000001)","(0.003272492347489368, 0.003272492347489368, 0.0)","(-0.02, 0.0, -0.34)","(35.5625, -28.0625, -66.375)",22,"(0.9996337890625, -0.02679443359375, 0.00250244140625, 0.0)",39616,1.9722957198443578,14915.408888719916,15.502457180776673
1582580604.960557,36.8,18.4,18.22386831184849,979.7963721812621,281.80346794446194,"(-0.09, -0.51, 9.370000000000001)","(359.9375, -0.25, 3.0625)","(-0.04, -0.52, 9.790000000000001)","(0.001090830782496456, 0.002181661564992912, 0.0)","(-0.03, 0.02, -0.39)","(34.875, -27.25, -66.0625)",22,"(0.9996337890625, -0.02679443359375, 0.00250244140625, 0.0)",39232,1.9755184252689402,14915.408888719916,15.502457180776673
1582580610.428906,37.9,18.8,18.21942321024835,979.7362756267747,282.7426532969298,"(-0.1, -0.49, 9.370000000000001)","(359.9375, -0.25, 3.0625)","(-0.04, -0.52, 9.790000000000001)","(-0.002181661564992912, -0.001090830782496456, 0.001090830782496456)","(-0.03, 0.01, -0.4)","(34.875, -27.0, -65.5625)",22,"(0.9996337890625, -0.02679443359375, 0.00250244140625, 0.0)",37632,1.8949507896543831,13326.214628937534,18.170969721213453
1582580615.894376,38.0,17.4,18.22386831184849,979.8564702485205,282.5656460925105,"(-0.09, -0.51, 9.35)","(359.9375, -0.25, 3.0625)","(-0.04, -0.52, 9.790000000000001)","(0.001090830782496456, 0.001090830782496456, -0.001090830782496456)","(-0.04, 0.01, -0.39)","(34.875, -27.6875, -66.0625)",22,"(0.9996337890625, -0.02679443359375, 0.00250244140625, 0.0)",37440,1.8852826733806363,13379.472726624097,18.075820616816998
1582580621.359645,38.0,17.4,18.241648671682924,979.777680010584,283.2393639272691,"(-0.09, -0.51, 9.36)","(359.9375, -0.25, 3.0625)","(-0.04, -0.52, 9.790000000000001)","(0.002181661564992912, 0.0, 0.001090830782496456)","(-0.03, 0.01, -0.4)","(34.875, -28.0625, -66.75)",22,"(0.9996337890625, -0.02679443359375, 0.00250244140625, 0.0)",37632,1.8885053788052186,13432.97457718025,17.98066670000918
1582580626.824672,38.0,17.3,18.24609375,979.7983821137424,281.7149657294162,"(-0.1, -0.5, 9.39)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.0, 0.0, -0.001090830782496456)","(-0.04, 0.0, -0.39)","(34.875, -28.0625, -66.375)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37568,1.8885053788052186,13379.472726624097,18.075820616816998
1582580632.28974,37.9,17.3,18.24609375,979.8377779869795,281.96329780748954,"(-0.09, -0.52, 9.39)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(-0.001090830782496456, 0.001090830782496456, -0.001090830782496456)","(-0.04, 0.0, -0.38)","(34.875, -27.25, -66.75)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37504,1.882059967956054,13379.472726624097,18.075820616816998
1582580637.754832,37.9,17.4,18.241648671682924,979.7880310695597,281.37814342550257,"(-0.08, -0.49, 9.38)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.001090830782496456, -0.001090830782496456, 0.0)","(-0.03, 0.01, -0.39)","(35.25, -27.0, -66.75)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37632,1.8885053788052186,13379.472726624097,18.075820616816998
1582580643.2255,37.6,17.5,18.241648671682924,979.8668220776112,281.80346794446194,"(-0.07, -0.5, 9.370000000000001)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(-0.001090830782496456, -0.001090830782496456, 0.0)","(-0.03, 0.02, -0.38)","(34.875, -28.0625, -66.375)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37504,1.8885053788052186,13540.716261359961,17.790341384300007
